COMMON,FULL,STANDARD
ALLEE,ALLEY,ALY
ALLEY,ALLEY,ALY
ALLY,ALLEY,ALY
ALY,ALLEY,ALY
AV,AVENUE,AVE
AVE,AVENUE,AVE
AVEN,AVENUE,AVE
AVENU,AVENUE,AVE
AVENUE,AVENUE,AVE
AVN,AVENUE,AVE
AVNUE,AVENUE,AVE
BL,BOULEVARD,BLVD
BLV,BOULEVARD,BLVD
BLVD,BOULEVARD,BLVD
BOUL,BOULEVARD,BLVD
BOULEVARD,BOULEVARD,BLVD
BOULV,BOULEVARD,BLVD
BRDGE,BRIDGE,BRG
BRG,BRIDGE,BRG
BRIDGE,BRIDGE,BRG
CIR,CIRCLE,CIR
CIRC,CIRCLE,CIR
CIRCL,CIRCLE,CIR
CIRCLE,CIRCLE,CIR
CRCL,CIRCLE,CIR
CRCLE,CIRCLE,CIR
COURT,COURT,CT
CT,COURT,CT
CREEK,CREEK,CRK
CRK,CREEK,CRK
DR,DRIVE,DR
DRIV,DRIVE,DR
DRIVE,DRIVE,DR
DRV,DRIVE,DR
EXP,EXPRESSWAY,EXPY
EXPR,EXPRESSWAY,EXPY
EXPRESS,EXPRESSWAY,EXPY
EXPRESSWAY,EXPRESSWAY,EXPY
EXPW,EXPRESSWAY,EXPY
EXPY,EXPRESSWAY,EXPY
HT,HEIGHTS,HTS
HTS,HEIGHTS,HTS
HIGHWAY,HIGHWAY,HWY
HIGHWY,HIGHWAY,HWY
HIWAY,HIGHWAY,HWY
HIWY,HIGHWAY,HWY
HWAY,HIGHWAY,HWY
HWY,HIGHWAY,HWY
LA,LANE,LN
LANE,LANE,LN
LN,LANE,LN
MALL,MALL,MALL
ML,MALL,MALL
MEWS,MEWS,MEWS
MEW,MEWS,MEWS
PARKWAY,PARKWAY,PKWY
PARKWY,PARKWAY,PKWY
PKWAY,PARKWAY,PKWY
PKWY,PARKWAY,PKWY
PKY,PARKWAY,PKWY
PARKWAYS,PARKWAYS,PKWY
PKWYS,PARKWAYS,PKWY
PATH,PATH,PATH
PATHS,PATH,PATH
PIKE,PIKE,PIKE
PIKES,PIKE,PIKE
PL,PLACE,PL
PLAZA,PLAZA,PLZ
PLZ,PLAZA,PLZ
PLZA,PLAZA,PLZ
RAMP,RAMP,RAMP
RD,ROAD,RD
ROAD,ROAD,RD
ROW,ROW,ROW
RUN,RUN,RUN
SPUR,SPUR,SPUR
SPURS,SPURS,SPUR
SQ,SQUARE,SQ
SQR,SQUARE,SQ
SQRE,SQUARE,SQ
SQU,SQUARE,SQ
SQUARE,SQUARE,SQ
STREET,STREET,ST
STRT,STREET,ST
ST,STREET,ST
STR,STREET,ST
TER,TERRACE,TER
TERR,TERRACE,TER
TERRACE,TERRACE,TER
TRAIL,TRAIL,TRL
TRAILS,TRAIL,TRL
TRL,TRAIL,TRL
TRLS,TRAIL,TRL
TUNEL,TUNNEL,TUNL
TUNL,TUNNEL,TUNL
TUNLS,TUNNEL,TUNL
TUNNEL,TUNNEL,TUNL
TUNNELS,TUNNEL,TUNL
TUNNL,TUNNEL,TUNL
WALK,WALK,WALK
WALKS,WALKS,WALK
WY,WAY,WAY
WAY,WAY,WAY