COMMON,STANDARD,ALLOWS_NUM,REQUIRES_NUM
#,#,1,1
APT,APT,1,1
APARTMENT,APT,1,1
BSMT,BSMT,0,0
BASEMENT,BSMT,0,0
BLDG,BLDG,1,1
BUILDING,BLDG,1,1
DEPT,DEPT,1,1
DEPARTMENT,DEPT,1,1
FL,FL,1,1
FLOOR,FL,1,1
FRNT,FRNT,0,0
FRONT,FRNT,0,0
HNGR,HNGR,1,1
HANGAR,HNGR,1,1
KEY,KEY,1,1
LBBY,LBBY,0,0
LOBBY,LBBY,0,0
LOWR,LOWR,0,0
LOWER,LOWR,0,0
OFC,OFC,1,0
OFFICE,OFC,1,0
PH,PH,0,0
PENTHOUSE,PH,0,0
PIER,PIER,1,1
REAR,REAR,0,0
ROOM,ROOM,1,1
SIDE,SIDE,0,0
SLIP,SLIP,1,1
SPC,SPC,1,1
SPACE,SPC,1,1
STOP,STOP,1,1
STE,STE,1,1
SUITE,STE,1,1
TRLR,TRLR,1,1
TRAILER,TRLR,1,1
UNIT,UNIT,1,1
UPPR,UPPR,0,0
UPPER,UPPR,0,0